"Year","Rnd","DT","OvPck","FrRnd","RdPck","Tm","Signed","Bonus","Name","Pos","WAR","G_bat","AB","HR","BA","OPS","G_pitch","W","L","ERA","WHIP","SV","Type","Drafted Out of"
"2005","3","","101","FrRnd","21","Athletics","Y","$380,000","Vin Mazzaro (minors)","RHP","-0.5","75","18","0",".167",".333","140","24","23","4.79","1.55","1","HS","Rutherford HS (Rutherford, NJ)"
"2005","3","","102","FrRnd","22","Indians via Giants","Y","$375,000","*Jensen Lewis (minors)","RHP","2.2","9","1","0",".000",".000","161","7","11","3.68","1.36","14","4Yr","Vanderbilt University (Nashville, TN)"
"2005","3","","103","FrRnd","23","Angels","Y","$500,000","Sean O'Sullivan (minors)","RHP","-2.5","24","33","0",".121",".329","71","13","23","6.01","1.58","0","HS","Valhalla HS (El Cajon, CA)"
"2005","3","","104","FrRnd","24","Astros","N","","Josh Lindblom (minors)","RHP","0.5","110","4","0",".000",".000","134","7","12","4.78","1.40","1","HS","Harrison HS (West Lafayette, IN)"
"2005","3","","105","FrRnd","25","Twins","Y","$350,000","Ryan Mullins (minors)","LHP","","","","","","","","","","","","","4Yr","Vanderbilt University (Nashville, TN)"
"2005","3","","106","FrRnd","26","Dodgers","Y","$325,000","Sergio Pedroza (minors)","OF","","","","","","","","","","","","","4Yr","California State University, Fullerton (Fullerton, CA)"
"2005","3","","107","FrRnd","27","Braves","Y","$320,000","Jordan Schafer (minors)","OF","-2.2","463","1292","12",".228",".615","","","","","","","HS","Winter Haven HS (Winter Haven, FL)"
"2005","3","","108","FrRnd","28","Cubs via Red Sox","Y","$315,000","*Mike Billek (minors)","RHP","","","","","","","","","","","","","4Yr","University of Central Florida (Orlando, FL)"
"2005","3","","109","FrRnd","29","Yankees","Y","$210,000","Brett Gardner (minors)","OF","44.3","1688","5737","139",".256",".740","","","","","","","4Yr","College of Charleston (Charleston, SC)"
"2005","3","","110","FrRnd","30","Cardinals","Y","$450,000","Daryl Jones (minors)","OF","","","","","","","","","","","","","HS","Spring HS (Spring, TX)"
"2005","4","","111","FrRnd","1","Diamondbacks","Y","$300,000","Mark Romanczuk (minors)","LHP","","","","","","","","","","","","","4Yr","Stanford University (Palo Alto, CA)"
"2005","4","","112","FrRnd","2","Royals","Y","$250,000","Joe Dickerson (minors)","OF","","","","","","","","","","","","","HS","Esperanza HS (Anaheim, CA)"
"2005","4","","113","FrRnd","3","Mariners","Y","$290,000","Justin Thomas (minors)","LHP","-0.3","10","1","0",".000",".000","31","0","2","6.93","2.11","0","4Yr","Youngstown State University (Youngstown, OH)"
"2005","4","","114","FrRnd","4","Nationals","Y","$386,000","Justin Maxwell (minors)","OF","2.7","441","1057","41",".220",".702","","","","","","","4Yr","University of Maryland (College Park, MD)"
"2005","4","","115","FrRnd","5","Brewers","Y","$226,000","Mat Gamel (minors)","3B","-0.2","106","240","6",".229",".672","","","","","","","JC","Chipola College (Marianna, FL)"
"2005","4","","116","FrRnd","6","Blue Jays","Y","$162,500","Ryan Patterson (minors)","OF","","","","","","","","","","","","","4Yr","Louisiana State University (Baton Rouge, LA)"
"2005","4","","117","FrRnd","7","Rockies","Y","$275,000","Brandon Durden (minors)","LHP","","","","","","","","","","","","","4Yr","Georgia College & State University (Milledgeville, GA)"
"2005","4","","118","FrRnd","8","Devil Rays","Y","$500,000","Jeremy Hellickson (minors)","RHP","11.6","109","175","0",".143",".373","232","76","75","4.13","1.25","0","HS","Hoover HS (Des Moines, IA)"
"2005","4","","119","FrRnd","9","Mets","Y","$350,000","Hector Pellot (minors)","2B","","","","","","","","","","","","","",""
"2005","4","","120","FrRnd","10","Tigers","Y","$265,000","Kevin Whelan (minors)","RHP","-0.1","1","0","0","","","3","0","0","9","3.33","0","4Yr","Texas A&M University (College Station, TX)"
"2005","4","","121","FrRnd","11","Pirates","Y","$262,500","Brent Lillibridge (minors)","SS","-0.9","358","708","19",".205",".599","","","","","","","4Yr","University of Washington (Seattle, WA)"
"2005","4","","122","FrRnd","12","Reds","Y","$260,000","Sam LeCure (minors)","RHP","2.6","238","22","0",".091",".349","250","10","16","3.51","1.26","1","",""
"2005","4","","123","FrRnd","13","Orioles","Y","$257,500","Kieron Pope (minors)","OF","","","","","","","","","","","","","HS","East Coweta HS (Sharpsburg, GA)"
"2005","4","","124","FrRnd","14","Indians","Y","$255,000","Jordan Brown (minors)","1B","-0.1","40","102","0",".226",".570","","","","","","","4Yr","University of Arizona (Tucson, AZ)"
"2005","4","","125","FrRnd","15","White Sox","Y","$225,000","Chris Getz (minors)","2B","1.4","459","1409","3",".250",".616","","","","","","","4Yr","University of Michigan (Ann Arbor, MI)"
"2005","4","","126","FrRnd","16","Marlins","Y","$250,000","Gaby Sanchez (minors)","C","3.1","700","1998","61",".254",".745","","","","","","","4Yr","University of Miami (Coral Gables, FL)"
"2005","4","","127","FrRnd","17","Phillies","Y","$247,500","Michael Durant (minors)","3B","","","","","","","","","","","","","HS","Berkeley HS (Berkeley, CA)"
"2005","4","","128","FrRnd","18","Padres","Y","$245,000","Mike Baxter (minors)","OF","0.5","232","417","4",".228",".664","","","","","","","4Yr","Vanderbilt University (Nashville, TN)"
"2005","4","","129","FrRnd","19","Rangers","Y","$250,000","Shane Funk (minors)","RHP","","","","","","","","","","","","","HS","Arnold HS (Arnold, FL)"
"2005","4","","130","FrRnd","20","Cubs","Y","$270,000","Dylan Johnston (minors)","SS","","","","","","","","","","","","","HS","Hamilton HS (Chandler, AZ)"
"2005","4","","131","FrRnd","21","Athletics","Y","$120,000","James Shull (minors)","RHP","","","","","","","","","","","","","4Yr","California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)"
"2005","4","","132","FrRnd","22","Giants","Y","$227,000","Ben Copeland (minors)","OF","","","","","","","","","","","","","4Yr","University of Pittsburgh (Pittsburgh, PA)"
"2005","4","","133","FrRnd","23","Angels","N","","Brian Matusz (minors)","LHP","2.1","19","8","0",".125",".250","280","27","41","4.92","1.46","0","HS","St. Marys HS (Phoenix, AZ)"
"2005","4","","134","FrRnd","24","Astros","Y","$217,500","Josh Flores (minors)","OF","","","","","","","","","","","","","JC","Triton College (River Grove, IL)"
